date,date_year,date_month,date_day,date_dw,date_holiday,date_holiday_note
2020-01-01T00:00:00Z,2020,1,1,Wed,1,元日
2020-01-02T00:00:00Z,2020,1,2,Thu,0,NA
2020-01-03T00:00:00Z,2020,1,3,Fri,0,NA
2020-01-04T00:00:00Z,2020,1,4,Sat,1,NA
2020-01-05T00:00:00Z,2020,1,5,Sun,1,NA
2020-01-06T00:00:00Z,2020,1,6,Mon,0,NA
2020-01-07T00:00:00Z,2020,1,7,Tue,0,NA
2020-01-08T00:00:00Z,2020,1,8,Wed,0,NA
2020-01-09T00:00:00Z,2020,1,9,Thu,0,NA
2020-01-10T00:00:00Z,2020,1,10,Fri,0,NA
2020-01-11T00:00:00Z,2020,1,11,Sat,1,NA
2020-01-12T00:00:00Z,2020,1,12,Sun,1,NA
2020-01-13T00:00:00Z,2020,1,13,Mon,1,成人の日
2020-01-14T00:00:00Z,2020,1,14,Tue,0,NA
2020-01-15T00:00:00Z,2020,1,15,Wed,0,NA
2020-01-16T00:00:00Z,2020,1,16,Thu,0,NA
2020-01-17T00:00:00Z,2020,1,17,Fri,0,NA
2020-01-18T00:00:00Z,2020,1,18,Sat,1,NA
2020-01-19T00:00:00Z,2020,1,19,Sun,1,NA
2020-01-20T00:00:00Z,2020,1,20,Mon,0,NA
2020-01-21T00:00:00Z,2020,1,21,Tue,0,NA
2020-01-22T00:00:00Z,2020,1,22,Wed,0,NA
2020-01-23T00:00:00Z,2020,1,23,Thu,0,NA
2020-01-24T00:00:00Z,2020,1,24,Fri,0,NA
2020-01-25T00:00:00Z,2020,1,25,Sat,1,NA
2020-01-26T00:00:00Z,2020,1,26,Sun,1,NA
2020-01-27T00:00:00Z,2020,1,27,Mon,0,NA
2020-01-28T00:00:00Z,2020,1,28,Tue,0,NA
2020-01-29T00:00:00Z,2020,1,29,Wed,0,NA
2020-01-30T00:00:00Z,2020,1,30,Thu,0,NA
2020-01-31T00:00:00Z,2020,1,31,Fri,0,NA
2020-02-01T00:00:00Z,2020,2,1,Sat,1,NA
2020-02-02T00:00:00Z,2020,2,2,Sun,1,NA
2020-02-03T00:00:00Z,2020,2,3,Mon,0,NA
2020-02-04T00:00:00Z,2020,2,4,Tue,0,NA
2020-02-05T00:00:00Z,2020,2,5,Wed,0,NA
2020-02-06T00:00:00Z,2020,2,6,Thu,0,NA
2020-02-07T00:00:00Z,2020,2,7,Fri,0,NA
2020-02-08T00:00:00Z,2020,2,8,Sat,1,NA
2020-02-09T00:00:00Z,2020,2,9,Sun,1,NA
2020-02-10T00:00:00Z,2020,2,10,Mon,0,NA
2020-02-11T00:00:00Z,2020,2,11,Tue,1,建国記念日
2020-02-12T00:00:00Z,2020,2,12,Wed,0,NA
2020-02-13T00:00:00Z,2020,2,13,Thu,0,NA
2020-02-14T00:00:00Z,2020,2,14,Fri,0,NA
2020-02-15T00:00:00Z,2020,2,15,Sat,1,NA
2020-02-16T00:00:00Z,2020,2,16,Sun,1,NA
2020-02-17T00:00:00Z,2020,2,17,Mon,0,NA
2020-02-18T00:00:00Z,2020,2,18,Tue,0,NA
2020-02-19T00:00:00Z,2020,2,19,Wed,0,NA
2020-02-20T00:00:00Z,2020,2,20,Thu,0,NA
2020-02-21T00:00:00Z,2020,2,21,Fri,0,NA
2020-02-22T00:00:00Z,2020,2,22,Sat,1,NA
2020-02-23T00:00:00Z,2020,2,23,Sun,1,天皇誕生日
2020-02-24T00:00:00Z,2020,2,24,Mon,1,振替休日
2020-02-25T00:00:00Z,2020,2,25,Tue,0,NA
2020-02-26T00:00:00Z,2020,2,26,Wed,0,NA
2020-02-27T00:00:00Z,2020,2,27,Thu,0,NA
2020-02-28T00:00:00Z,2020,2,28,Fri,0,NA
2020-02-29T00:00:00Z,2020,2,29,Sat,1,NA
2020-03-01T00:00:00Z,2020,3,1,Sun,1,NA
2020-03-02T00:00:00Z,2020,3,2,Mon,0,NA
2020-03-03T00:00:00Z,2020,3,3,Tue,0,NA
2020-03-04T00:00:00Z,2020,3,4,Wed,0,NA
2020-03-05T00:00:00Z,2020,3,5,Thu,0,NA
2020-03-06T00:00:00Z,2020,3,6,Fri,0,NA
2020-03-07T00:00:00Z,2020,3,7,Sat,1,NA
2020-03-08T00:00:00Z,2020,3,8,Sun,1,NA
2020-03-09T00:00:00Z,2020,3,9,Mon,0,NA
2020-03-10T00:00:00Z,2020,3,10,Tue,0,NA
2020-03-11T00:00:00Z,2020,3,11,Wed,0,NA
2020-03-12T00:00:00Z,2020,3,12,Thu,0,NA
2020-03-13T00:00:00Z,2020,3,13,Fri,0,NA
2020-03-14T00:00:00Z,2020,3,14,Sat,1,NA
2020-03-15T00:00:00Z,2020,3,15,Sun,1,NA
2020-03-16T00:00:00Z,2020,3,16,Mon,0,NA
2020-03-17T00:00:00Z,2020,3,17,Tue,0,NA
2020-03-18T00:00:00Z,2020,3,18,Wed,0,NA
2020-03-19T00:00:00Z,2020,3,19,Thu,0,NA
2020-03-20T00:00:00Z,2020,3,20,Fri,1,春分の日
2020-03-21T00:00:00Z,2020,3,21,Sat,1,NA
2020-03-22T00:00:00Z,2020,3,22,Sun,1,NA
2020-03-23T00:00:00Z,2020,3,23,Mon,0,NA
2020-03-24T00:00:00Z,2020,3,24,Tue,0,NA
2020-03-25T00:00:00Z,2020,3,25,Wed,0,NA
2020-03-26T00:00:00Z,2020,3,26,Thu,0,NA
2020-03-27T00:00:00Z,2020,3,27,Fri,0,NA
2020-03-28T00:00:00Z,2020,3,28,Sat,1,NA
2020-03-29T00:00:00Z,2020,3,29,Sun,1,NA
